order_id,customer_id,order_date,shipped_date,delivered_date,status,shipping_address,payment_method,payment_status
ORD_00001,CUST_0279,2025-02-07,,,processing,"26339 James Manors Suite 578, Lake John, WV 95805",Google Pay,refunded
ORD_00002,CUST_0193,2025-11-06,2025-11-07,2025-11-09,delivered,"44729 Clarke Glen, Lake Brendatown, FL 71715",Credit Card,paid
ORD_00003,CUST_0191,2025-06-10,2025-06-13,2025-06-16,delivered,"548 Paul Green Suite 248, South Erinland, FL 20481",PayPal,refunded
ORD_00004,CUST_0745,2024-12-13,2024-12-15,2024-12-16,delivered,"035 Derek Drive Suite 610, North Markmouth, AZ 72573",PayPal,paid
ORD_00005,CUST_0506,2024-12-21,2024-12-24,2024-12-28,delivered,"4240 Amy Course Suite 982, Sandrahaven, MA 80219",Debit Card,refunded
ORD_00006,CUST_0381,2025-05-12,2025-05-18,2025-05-19,delivered,"7868 Matthew Ways Suite 399, Popeport, NH 96238",Debit Card,paid
ORD_00007,CUST_0864,2025-05-06,,,cancelled,"795 Solomon Circle Suite 783, Brandonfort, UT 37055",PayPal,paid
ORD_00008,CUST_0273,2025-08-27,,,cancelled,"453 Baldwin Freeway, West George, AR 75981",Apple Pay,paid
ORD_00009,CUST_0557,2025-07-03,2025-07-05,2025-07-07,delivered,"85916 Melissa Alley, Willisview, PA 32996",Debit Card,refunded
ORD_00010,CUST_0849,2025-02-04,2025-02-05,2025-02-07,delivered,"18678 Lawrence Throughway, Michelleland, WV 46986",Apple Pay,refunded
ORD_00011,CUST_0254,2025-05-07,,,processing,"524 Mercedes Heights Suite 022, East Kristin, WY 04220",Credit Card,pending
ORD_00012,CUST_0472,2025-06-08,,,processing,"005 Andrea Parks Apt. 157, South Allison, OK 98350",Credit Card,pending
ORD_00013,CUST_0485,2025-03-20,2025-03-26,2025-03-29,delivered,"29327 Alan Causeway, Jaredchester, AR 87772",Debit Card,pending
ORD_00014,CUST_0645,2025-10-02,,,processing,"97735 David Islands Suite 718, Dunnmouth, SD 74591",Credit Card,paid
ORD_00015,CUST_0260,2025-03-05,2025-03-11,2025-03-14,delivered,"2505 Gilbert Mill, Penningtonshire, NJ 31124",PayPal,failed
ORD_00016,CUST_0909,2025-06-30,2025-07-07,2025-07-09,delivered,"4353 Laura Loop, New Caitlinmouth, MP 62214",Credit Card,pending
ORD_00017,CUST_0649,2025-06-13,2025-06-16,2025-06-17,delivered,"77280 Allen Lock, North Rebeccachester, LA 19947",PayPal,failed
ORD_00018,CUST_0599,2025-05-25,2025-05-29,2025-05-31,delivered,"Unit 6226 Box 7541, DPO AA 53143",Credit Card,paid
ORD_00019,CUST_0596,2025-08-10,,,processing,"720 Carr Mountains Apt. 361, Harttown, PW 23050",Apple Pay,pending
ORD_00020,CUST_0381,2025-09-16,,,cancelled,"553 Palmer Summit Suite 669, Kristinaborough, PA 59876",Credit Card,pending
ORD_00021,CUST_0162,2025-07-07,2025-07-08,2025-07-13,delivered,"Unit 6734 Box 7966, DPO AA 95781",Debit Card,paid
ORD_00022,CUST_0062,2025-10-14,2025-10-20,2025-10-22,delivered,"247 Brooks Mills, Webbshire, DC 94058",Google Pay,paid
ORD_00023,CUST_0129,2025-09-14,2025-09-16,2025-09-19,delivered,"30970 Andrea Road, Warnerland, RI 04867",Google Pay,failed
ORD_00024,CUST_0825,2025-05-26,2025-06-01,2025-06-03,delivered,"Unit 8831 Box 9802, DPO AA 73110",Credit Card,refunded
ORD_00025,CUST_0367,2024-12-06,,,processing,"103 Brent Drive Apt. 163, Dickersonmouth, OR 82812",PayPal,failed
ORD_00026,CUST_0921,2025-01-19,2025-01-23,2025-01-27,delivered,"93853 Holly Shores Suite 531, Port Jonathan, KY 02779",Google Pay,failed
ORD_00027,CUST_0556,2025-10-22,,,processing,"11418 Kyle Land, North Aliciachester, CA 45971",Apple Pay,pending
ORD_00028,CUST_0581,2025-10-31,2025-11-05,2025-11-08,delivered,"16735 Laura Motorway Apt. 669, Mcbrideberg, NE 39970",Debit Card,refunded
ORD_00029,CUST_0282,2025-03-04,2025-03-11,,shipped,"25038 Mark Isle, Nelsonmouth, SC 85872",Google Pay,pending
ORD_00030,CUST_0071,2025-09-03,2025-09-05,2025-09-09,delivered,"70751 Burnett Prairie, East Susan, MT 90416",Debit Card,failed
ORD_00031,CUST_0555,2024-12-18,2024-12-22,2024-12-23,delivered,"750 Ruiz Via Apt. 815, Brownport, KS 99445",Google Pay,refunded
ORD_00032,CUST_0752,2025-01-02,2025-01-03,2025-01-08,delivered,"327 Monique Junctions Suite 543, West Amandaport, TN 25290",Debit Card,pending
ORD_00033,CUST_0329,2025-06-25,,,processing,"629 Cassandra Crescent Apt. 032, South Russell, WY 00991",Credit Card,refunded
ORD_00034,CUST_0195,2025-10-06,2025-10-12,2025-10-16,delivered,"6340 Bowman Fields, New Scott, WY 32537",Google Pay,pending
ORD_00035,CUST_0628,2025-09-18,2025-09-21,2025-09-25,delivered,"1108 Gary View Apt. 689, Youngmouth, GA 52959",Debit Card,paid
ORD_00036,CUST_0099,2025-09-18,2025-09-24,2025-09-25,delivered,"636 Harris Passage Apt. 156, West Misty, DC 37182",Credit Card,pending
ORD_00037,CUST_0183,2025-10-13,2025-10-15,2025-10-16,delivered,"1716 Harper Ports Suite 589, Holttown, NH 60356",Apple Pay,pending
ORD_00038,CUST_0102,2025-09-02,2025-09-07,2025-09-11,delivered,"208 Colton Track Apt. 066, West Karen, VT 61728",Apple Pay,failed
ORD_00039,CUST_0051,2025-06-25,2025-06-27,2025-07-02,delivered,"5903 Sherry Locks, Brucemouth, ND 23964",Credit Card,paid
ORD_00040,CUST_0953,2025-06-28,2025-07-04,2025-07-08,delivered,"13583 Amanda Passage, Rodriguezshire, HI 53931",Credit Card,refunded
ORD_00041,CUST_0821,2025-09-18,2025-09-19,,shipped,"167 Potts Spur, Mayland, IA 02167",Debit Card,refunded
ORD_00042,CUST_0842,2024-11-28,2024-12-05,2024-12-06,delivered,"336 Kennedy Trafficway, Jimmouth, TN 56624",Google Pay,failed
ORD_00043,CUST_0542,2024-11-21,2024-11-27,2024-11-28,delivered,"789 Carla Pines, Cindyville, WY 63297",Debit Card,paid
ORD_00044,CUST_0968,2025-02-08,2025-02-13,2025-02-14,delivered,"46747 Vasquez Shore Apt. 897, Lake Jamesbury, GA 70533",Credit Card,pending
ORD_00045,CUST_0545,2025-11-10,2025-11-12,2025-11-14,delivered,"7123 Margaret Forest Apt. 858, Pamelaborough, AS 96110",Google Pay,pending
ORD_00046,CUST_0584,2025-11-08,2025-11-10,,shipped,"97034 Khan Tunnel, Port Stacy, MI 72585",Google Pay,refunded
ORD_00047,CUST_0765,2025-07-03,2025-07-10,2025-07-15,delivered,"USNV Thomas, FPO AA 41160",Debit Card,refunded
ORD_00048,CUST_0720,2025-07-20,,,processing,"466 Kevin Light Apt. 932, Jacobfort, MS 20755",Apple Pay,paid
ORD_00049,CUST_0171,2025-01-13,2025-01-18,2025-01-22,delivered,"9066 Johnson Station, Alexville, RI 90971",Google Pay,failed
ORD_00050,CUST_0674,2025-10-03,2025-10-08,2025-10-13,delivered,"18418 Carter Streets Suite 979, New Bradleybury, PW 54899",Apple Pay,failed
ORD_00051,CUST_0925,2025-09-12,2025-09-17,2025-09-20,delivered,"6890 Kimberly Hills, Aimeechester, MN 39800",Debit Card,refunded
